# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
 1699, 1699,          prime,          1,  4,  5,  5,   9,   16,  8,   20,  17,  25
 1700, 2² 5² 17,      ,               2,  0,  6,  6,   10,  0,   9,   21,  18,  26
 1701, 3⁵ 7,          ,               0,  1,  0,  7,   11,  1,   10,  22,  19,  27
 1702, 2 23 37,       radical,        1,  2,  1,  8,   12,  2,   11,  0,   20,  28
 1703, 13 131,        radical,        2,  3,  2,  9,   0,   3,   12,  1,   21,  29
 1704, 2³ 3 71,       ,               0,  4,  3,  10,  1,   4,   13,  2,   22,  30
 1705, 5 11 31,       radical,        1,  0,  4,  0,   2,   5,   14,  3,   23,  0
 1706, 2 853,         radical,        2,  1,  5,  1,   3,   6,   15,  4,   24,  1
 1707, 3 569,         radical,        0,  2,  6,  2,   4,   7,   16,  5,   25,  2
 1708, 2² 7 61,       ,               1,  3,  0,  3,   5,   8,   17,  6,   26,  3
 1709, 1709,          prime,          2,  4,  1,  4,   6,   9,   18,  7,   27,  4
 1710, 2 3² 5 19,     ,               0,  0,  2,  5,   7,   10,  0,   8,   28,  5
 1711, 29 59,         radical,        1,  1,  3,  6,   8,   11,  1,   9,   0,   6
 1712, 2⁴ 107,        ,               2,  2,  4,  7,   9,   12,  2,   10,  1,   7
 1713, 3 571,         radical,        0,  3,  5,  8,   10,  13,  3,   11,  2,   8
 1714, 2 857,         radical,        1,  4,  6,  9,   11,  14,  4,   12,  3,   9
 1715, 5 7³,          ,               2,  0,  0,  10,  12,  15,  5,   13,  4,   10
 1716, 2² 3 11 13,    ,               0,  1,  1,  0,   0,   16,  6,   14,  5,   11
 1717, 17 101,        radical,        1,  2,  2,  1,   1,   0,   7,   15,  6,   12
 1718, 2 859,         radical,        2,  3,  3,  2,   2,   1,   8,   16,  7,   13
 1719, 3² 191,        ,               0,  4,  4,  3,   3,   2,   9,   17,  8,   14
 1720, 2³ 5 43,       ,               1,  0,  5,  4,   4,   3,   10,  18,  9,   15
 1721, 1721,          prime,          2,  1,  6,  5,   5,   4,   11,  19,  10,  16
 1722, 2 3 7 41,      radical,        0,  2,  0,  6,   6,   5,   12,  20,  11,  17
 1723, 1723,          prime,          1,  3,  1,  7,   7,   6,   13,  21,  12,  18
 1724, 2² 431,        ,               2,  4,  2,  8,   8,   7,   14,  22,  13,  19
 1725, 3 5² 23,       ,               0,  0,  3,  9,   9,   8,   15,  0,   14,  20
 1726, 2 863,         radical,        1,  1,  4,  10,  10,  9,   16,  1,   15,  21
 1727, 11 157,        radical,        2,  2,  5,  0,   11,  10,  17,  2,   16,  22
 1728, 2⁶ 3³,         ,               0,  3,  6,  1,   12,  11,  18,  3,   17,  23
 1729, 7 13 19,       radical,        1,  4,  0,  2,   0,   12,  0,   4,   18,  24
 1730, 2 5 173,       radical,        2,  0,  1,  3,   1,   13,  1,   5,   19,  25
 1731, 3 577,         radical,        0,  1,  2,  4,   2,   14,  2,   6,   20,  26
 1732, 2² 433,        ,               1,  2,  3,  5,   3,   15,  3,   7,   21,  27
 1733, 1733,          prime,          2,  3,  4,  6,   4,   16,  4,   8,   22,  28
 1734, 2 3 17²,       ,               0,  4,  5,  7,   5,   0,   5,   9,   23,  29
 1735, 5 347,         radical,        1,  0,  6,  8,   6,   1,   6,   10,  24,  30
 1736, 2³ 7 31,       ,               2,  1,  0,  9,   7,   2,   7,   11,  25,  0
 1737, 3² 193,        ,               0,  2,  1,  10,  8,   3,   8,   12,  26,  1
 1738, 2 11 79,       radical,        1,  3,  2,  0,   9,   4,   9,   13,  27,  2
 1739, 37 47,         radical,        2,  4,  3,  1,   10,  5,   10,  14,  28,  3
 1740, 2² 3 5 29,     ,               0,  0,  4,  2,   11,  6,   11,  15,  0,   4
 1741, 1741,          prime,          1,  1,  5,  3,   12,  7,   12,  16,  1,   5
 1742, 2 13 67,       radical,        2,  2,  6,  4,   0,   8,   13,  17,  2,   6
 1743, 3 7 83,        radical,        0,  3,  0,  5,   1,   9,   14,  18,  3,   7
 1744, 2⁴ 109,        ,               1,  4,  1,  6,   2,   10,  15,  19,  4,   8
 1745, 5 349,         radical,        2,  0,  2,  7,   3,   11,  16,  20,  5,   9
 1746, 2 3² 97,       ,               0,  1,  3,  8,   4,   12,  17,  21,  6,   10
 1747, 1747,          prime,          1,  2,  4,  9,   5,   13,  18,  22,  7,   11
 1748, 2² 19 23,      ,               2,  3,  5,  10,  6,   14,  0,   0,   8,   12
 1749, 3 11 53,       radical,        0,  4,  6,  0,   7,   15,  1,   1,   9,   13
 1750, 2 5³ 7,        ,               1,  0,  0,  1,   8,   16,  2,   2,   10,  14
 1751, 17 103,        radical,        2,  1,  1,  2,   9,   0,   3,   3,   11,  15
 1752, 2³ 3 73,       ,               0,  2,  2,  3,   10,  1,   4,   4,   12,  16
 1753, 1753,          prime,          1,  3,  3,  4,   11,  2,   5,   5,   13,  17
 1754, 2 877,         radical,        2,  4,  4,  5,   12,  3,   6,   6,   14,  18
 1755, 3³ 5 13,       ,               0,  0,  5,  6,   0,   4,   7,   7,   15,  19
 1756, 2² 439,        ,               1,  1,  6,  7,   1,   5,   8,   8,   16,  20
 1757, 7 251,         radical,        2,  2,  0,  8,   2,   6,   9,   9,   17,  21
 1758, 2 3 293,       radical,        0,  3,  1,  9,   3,   7,   10,  10,  18,  22
 1759, 1759,          prime,          1,  4,  2,  10,  4,   8,   11,  11,  19,  23
 1760, 2⁵ 5 11,       ,               2,  0,  3,  0,   5,   9,   12,  12,  20,  24
 1761, 3 587,         radical,        0,  1,  4,  1,   6,   10,  13,  13,  21,  25
 1762, 2 881,         radical,        1,  2,  5,  2,   7,   11,  14,  14,  22,  26
 1763, 41 43,         radical,        2,  3,  6,  3,   8,   12,  15,  15,  23,  27
 1764, 2² 3² 7²,      radical power,  0,  4,  0,  4,   9,   13,  16,  16,  24,  28
 1765, 5 353,         radical,        1,  0,  1,  5,   10,  14,  17,  17,  25,  29
 1766, 2 883,         radical,        2,  1,  2,  6,   11,  15,  18,  18,  26,  30
 1767, 3 19 31,       radical,        0,  2,  3,  7,   12,  16,  0,   19,  27,  0
 1768, 2³ 13 17,      ,               1,  3,  4,  8,   0,   0,   1,   20,  28,  1
 1769, 29 61,         radical,        2,  4,  5,  9,   1,   1,   2,   21,  0,   2
 1770, 2 3 5 59,      radical,        0,  0,  6,  10,  2,   2,   3,   22,  1,   3
 1771, 7 11 23,       radical,        1,  1,  0,  0,   3,   3,   4,   0,   2,   4
 1772, 2² 443,        ,               2,  2,  1,  1,   4,   4,   5,   1,   3,   5
 1773, 3² 197,        ,               0,  3,  2,  2,   5,   5,   6,   2,   4,   6
 1774, 2 887,         radical,        1,  4,  3,  3,   6,   6,   7,   3,   5,   7
 1775, 5² 71,         ,               2,  0,  4,  4,   7,   7,   8,   4,   6,   8
 1776, 2⁴ 3 37,       ,               0,  1,  5,  5,   8,   8,   9,   5,   7,   9
 1777, 1777,          prime,          1,  2,  6,  6,   9,   9,   10,  6,   8,   10
 1778, 2 7 127,       radical,        2,  3,  0,  7,   10,  10,  11,  7,   9,   11
 1779, 3 593,         radical,        0,  4,  1,  8,   11,  11,  12,  8,   10,  12
 1780, 2² 5 89,       ,               1,  0,  2,  9,   12,  12,  13,  9,   11,  13
 1781, 13 137,        radical,        2,  1,  3,  10,  0,   13,  14,  10,  12,  14
 1782, 2 3⁴ 11,       ,               0,  2,  4,  0,   1,   14,  15,  11,  13,  15
 1783, 1783,          prime,          1,  3,  5,  1,   2,   15,  16,  12,  14,  16
 1784, 2³ 223,        ,               2,  4,  6,  2,   3,   16,  17,  13,  15,  17
 1785, 3 5 7 17,      radical,        0,  0,  0,  3,   4,   0,   18,  14,  16,  18
 1786, 2 19 47,       radical,        1,  1,  1,  4,   5,   1,   0,   15,  17,  19
 1787, 1787,          prime,          2,  2,  2,  5,   6,   2,   1,   16,  18,  20
 1788, 2² 3 149,      ,               0,  3,  3,  6,   7,   3,   2,   17,  19,  21
 1789, 1789,          prime,          1,  4,  4,  7,   8,   4,   3,   18,  20,  22
 1790, 2 5 179,       radical,        2,  0,  5,  8,   9,   5,   4,   19,  21,  23
 1791, 3² 199,        ,               0,  1,  6,  9,   10,  6,   5,   20,  22,  24
 1792, 2⁸ 7,          ,               1,  2,  0,  10,  11,  7,   6,   21,  23,  25
 1793, 11 163,        radical,        2,  3,  1,  0,   12,  8,   7,   22,  24,  26
 1794, 2 3 13 23,     radical,        0,  4,  2,  1,   0,   9,   8,   0,   25,  27
 1795, 5 359,         radical,        1,  0,  3,  2,   1,   10,  9,   1,   26,  28
 1796, 2² 449,        ,               2,  1,  4,  3,   2,   11,  10,  2,   27,  29
 1797, 3 599,         radical,        0,  2,  5,  4,   3,   12,  11,  3,   28,  30
 1798, 2 29 31,       radical,        1,  3,  6,  5,   4,   13,  12,  4,   0,   0
 1799, 7 257,         radical,        2,  4,  0,  6,   5,   14,  13,  5,   1,   1
 1800, 2³ 3² 5²,      ,               0,  0,  1,  7,   6,   15,  14,  6,   2,   2
 1801, 1801,          prime,          1,  1,  2,  8,   7,   16,  15,  7,   3,   3
 1802, 2 17 53,       radical,        2,  2,  3,  9,   8,   0,   16,  8,   4,   4
 1803, 3 601,         radical,        0,  3,  4,  10,  9,   1,   17,  9,   5,   5
 1804, 2² 11 41,      ,               1,  4,  5,  0,   10,  2,   18,  10,  6,   6
 1805, 5 19²,         ,               2,  0,  6,  1,   11,  3,   0,   11,  7,   7
 1806, 2 3 7 43,      radical,        0,  1,  0,  2,   12,  4,   1,   12,  8,   8
 1807, 13 139,        radical,        1,  2,  1,  3,   0,   5,   2,   13,  9,   9
 1808, 2⁴ 113,        ,               2,  3,  2,  4,   1,   6,   3,   14,  10,  10
 1809, 3³ 67,         ,               0,  4,  3,  5,   2,   7,   4,   15,  11,  11
 1810, 2 5 181,       radical,        1,  0,  4,  6,   3,   8,   5,   16,  12,  12
 1811, 1811,          prime,          2,  1,  5,  7,   4,   9,   6,   17,  13,  13
 1812, 2² 3 151,      ,               0,  2,  6,  8,   5,   10,  7,   18,  14,  14
 1813, 7² 37,         ,               1,  3,  0,  9,   6,   11,  8,   19,  15,  15
 1814, 2 907,         radical,        2,  4,  1,  10,  7,   12,  9,   20,  16,  16
 1815, 3 5 11²,       ,               0,  0,  2,  0,   8,   13,  10,  21,  17,  17
 1816, 2³ 227,        ,               1,  1,  3,  1,   9,   14,  11,  22,  18,  18
 1817, 23 79,         radical,        2,  2,  4,  2,   10,  15,  12,  0,   19,  19
 1818, 2 3² 101,      ,               0,  3,  5,  3,   11,  16,  13,  1,   20,  20
 1819, 17 107,        radical,        1,  4,  6,  4,   12,  0,   14,  2,   21,  21
 1820, 2² 5 7 13,     ,               2,  0,  0,  5,   0,   1,   15,  3,   22,  22
 1821, 3 607,         radical,        0,  1,  1,  6,   1,   2,   16,  4,   23,  23
 1822, 2 911,         radical,        1,  2,  2,  7,   2,   3,   17,  5,   24,  24
 1823, 1823,          prime,          2,  3,  3,  8,   3,   4,   18,  6,   25,  25
 1824, 2⁵ 3 19,       ,               0,  4,  4,  9,   4,   5,   0,   7,   26,  26
 1825, 5² 73,         ,               1,  0,  5,  10,  5,   6,   1,   8,   27,  27
 1826, 2 11 83,       radical,        2,  1,  6,  0,   6,   7,   2,   9,   28,  28
 1827, 3² 7 29,       ,               0,  2,  0,  1,   7,   8,   3,   10,  0,   29
 1828, 2² 457,        ,               1,  3,  1,  2,   8,   9,   4,   11,  1,   30
 1829, 31 59,         radical,        2,  4,  2,  3,   9,   10,  5,   12,  2,   0
 1830, 2 3 5 61,      radical,        0,  0,  3,  4,   10,  11,  6,   13,  3,   1
 1831, 1831,          prime,          1,  1,  4,  5,   11,  12,  7,   14,  4,   2
 1832, 2³ 229,        ,               2,  2,  5,  6,   12,  13,  8,   15,  5,   3
 1833, 3 13 47,       radical,        0,  3,  6,  7,   0,   14,  9,   16,  6,   4
 1834, 2 7 131,       radical,        1,  4,  0,  8,   1,   15,  10,  17,  7,   5
 1835, 5 367,         radical,        2,  0,  1,  9,   2,   16,  11,  18,  8,   6
 1836, 2² 3³ 17,      ,               0,  1,  2,  10,  3,   0,   12,  19,  9,   7
 1837, 11 167,        radical,        1,  2,  3,  0,   4,   1,   13,  20,  10,  8
 1838, 2 919,         radical,        2,  3,  4,  1,   5,   2,   14,  21,  11,  9
 1839, 3 613,         radical,        0,  4,  5,  2,   6,   3,   15,  22,  12,  10
 1840, 2⁴ 5 23,       ,               1,  0,  6,  3,   7,   4,   16,  0,   13,  11
 1841, 7 263,         radical,        2,  1,  0,  4,   8,   5,   17,  1,   14,  12
 1842, 2 3 307,       radical,        0,  2,  1,  5,   9,   6,   18,  2,   15,  13
 1843, 19 97,         radical,        1,  3,  2,  6,   10,  7,   0,   3,   16,  14
 1844, 2² 461,        ,               2,  4,  3,  7,   11,  8,   1,   4,   17,  15
 1845, 3² 5 41,       ,               0,  0,  4,  8,   12,  9,   2,   5,   18,  16
 1846, 2 13 71,       radical,        1,  1,  5,  9,   0,   10,  3,   6,   19,  17
 1847, 1847,          prime,          2,  2,  6,  10,  1,   11,  4,   7,   20,  18
 1848, 2³ 3 7 11,     ,               0,  3,  0,  0,   2,   12,  5,   8,   21,  19
 1849, 43²,           prime power,    1,  4,  1,  1,   3,   13,  6,   9,   22,  20
 1850, 2 5² 37,       ,               2,  0,  2,  2,   4,   14,  7,   10,  23,  21
 1851, 3 617,         radical,        0,  1,  3,  3,   5,   15,  8,   11,  24,  22
 1852, 2² 463,        ,               1,  2,  4,  4,   6,   16,  9,   12,  25,  23
 1853, 17 109,        radical,        2,  3,  5,  5,   7,   0,   10,  13,  26,  24
 1854, 2 3² 103,      ,               0,  4,  6,  6,   8,   1,   11,  14,  27,  25
 1855, 5 7 53,        radical,        1,  0,  0,  7,   9,   2,   12,  15,  28,  26
 1856, 2⁶ 29,         ,               2,  1,  1,  8,   10,  3,   13,  16,  0,   27
 1857, 3 619,         radical,        0,  2,  2,  9,   11,  4,   14,  17,  1,   28
 1858, 2 929,         radical,        1,  3,  3,  10,  12,  5,   15,  18,  2,   29
 1859, 11 13²,        ,               2,  4,  4,  0,   0,   6,   16,  19,  3,   30
 1860, 2² 3 5 31,     ,               0,  0,  5,  1,   1,   7,   17,  20,  4,   0
 1861, 1861,          prime,          1,  1,  6,  2,   2,   8,   18,  21,  5,   1
 1862, 2 7² 19,       ,               2,  2,  0,  3,   3,   9,   0,   22,  6,   2
 1863, 3⁴ 23,         ,               0,  3,  1,  4,   4,   10,  1,   0,   7,   3
 1864, 2³ 233,        ,               1,  4,  2,  5,   5,   11,  2,   1,   8,   4
 1865, 5 373,         radical,        2,  0,  3,  6,   6,   12,  3,   2,   9,   5
 1866, 2 3 311,       radical,        0,  1,  4,  7,   7,   13,  4,   3,   10,  6
 1867, 1867,          prime,          1,  2,  5,  8,   8,   14,  5,   4,   11,  7
 1868, 2² 467,        ,               2,  3,  6,  9,   9,   15,  6,   5,   12,  8
 1869, 3 7 89,        radical,        0,  4,  0,  10,  10,  16,  7,   6,   13,  9
 1870, 2 5 11 17,     radical,        1,  0,  1,  0,   11,  0,   8,   7,   14,  10
 1871, 1871,          prime,          2,  1,  2,  1,   12,  1,   9,   8,   15,  11
 1872, 2⁴ 3² 13,      ,               0,  2,  3,  2,   0,   2,   10,  9,   16,  12
 1873, 1873,          prime,          1,  3,  4,  3,   1,   3,   11,  10,  17,  13
 1874, 2 937,         radical,        2,  4,  5,  4,   2,   4,   12,  11,  18,  14
 1875, 3 5⁴,          ,               0,  0,  6,  5,   3,   5,   13,  12,  19,  15
 1876, 2² 7 67,       ,               1,  1,  0,  6,   4,   6,   14,  13,  20,  16
 1877, 1877,          prime,          2,  2,  1,  7,   5,   7,   15,  14,  21,  17
 1878, 2 3 313,       radical,        0,  3,  2,  8,   6,   8,   16,  15,  22,  18
 1879, 1879,          prime,          1,  4,  3,  9,   7,   9,   17,  16,  23,  19
 1880, 2³ 5 47,       ,               2,  0,  4,  10,  8,   10,  18,  17,  24,  20
 1881, 3² 11 19,      ,               0,  1,  5,  0,   9,   11,  0,   18,  25,  21
 1882, 2 941,         radical,        1,  2,  6,  1,   10,  12,  1,   19,  26,  22
 1883, 7 269,         radical,        2,  3,  0,  2,   11,  13,  2,   20,  27,  23
 1884, 2² 3 157,      ,               0,  4,  1,  3,   12,  14,  3,   21,  28,  24
 1885, 5 13 29,       radical,        1,  0,  2,  4,   0,   15,  4,   22,  0,   25
 1886, 2 23 41,       radical,        2,  1,  3,  5,   1,   16,  5,   0,   1,   26
 1887, 3 17 37,       radical,        0,  2,  4,  6,   2,   0,   6,   1,   2,   27
 1888, 2⁵ 59,         ,               1,  3,  5,  7,   3,   1,   7,   2,   3,   28
 1889, 1889,          prime,          2,  4,  6,  8,   4,   2,   8,   3,   4,   29
 1890, 2 3³ 5 7,      ,               0,  0,  0,  9,   5,   3,   9,   4,   5,   30
 1891, 31 61,         radical,        1,  1,  1,  10,  6,   4,   10,  5,   6,   0
 1892, 2² 11 43,      ,               2,  2,  2,  0,   7,   5,   11,  6,   7,   1
 1893, 3 631,         radical,        0,  3,  3,  1,   8,   6,   12,  7,   8,   2
 1894, 2 947,         radical,        1,  4,  4,  2,   9,   7,   13,  8,   9,   3
 1895, 5 379,         radical,        2,  0,  5,  3,   10,  8,   14,  9,   10,  4
 1896, 2³ 3 79,       ,               0,  1,  6,  4,   11,  9,   15,  10,  11,  5
 1897, 7 271,         radical,        1,  2,  0,  5,   12,  10,  16,  11,  12,  6
 1898, 2 13 73,       radical,        2,  3,  1,  6,   0,   11,  17,  12,  13,  7
 1899, 3² 211,        ,               0,  4,  2,  7,   1,   12,  18,  13,  14,  8
 1900, 2² 5² 19,      ,               1,  0,  3,  8,   2,   13,  0,   14,  15,  9
 1901, 1901,          prime,          2,  1,  4,  9,   3,   14,  1,   15,  16,  10
 1902, 2 3 317,       radical,        0,  2,  5,  10,  4,   15,  2,   16,  17,  11
 1903, 11 173,        radical,        1,  3,  6,  0,   5,   16,  3,   17,  18,  12
 1904, 2⁴ 7 17,       ,               2,  4,  0,  1,   6,   0,   4,   18,  19,  13
 1905, 3 5 127,       radical,        0,  0,  1,  2,   7,   1,   5,   19,  20,  14
 1906, 2 953,         radical,        1,  1,  2,  3,   8,   2,   6,   20,  21,  15
 1907, 1907,          prime,          2,  2,  3,  4,   9,   3,   7,   21,  22,  16
 1908, 2² 3² 53,      ,               0,  3,  4,  5,   10,  4,   8,   22,  23,  17
 1909, 23 83,         radical,        1,  4,  5,  6,   11,  5,   9,   0,   24,  18
 1910, 2 5 191,       radical,        2,  0,  6,  7,   12,  6,   10,  1,   25,  19
 1911, 3 7² 13,       ,               0,  1,  0,  8,   0,   7,   11,  2,   26,  20
 1912, 2³ 239,        ,               1,  2,  1,  9,   1,   8,   12,  3,   27,  21
 1913, 1913,          prime,          2,  3,  2,  10,  2,   9,   13,  4,   28,  22
 1914, 2 3 11 29,     radical,        0,  4,  3,  0,   3,   10,  14,  5,   0,   23
 1915, 5 383,         radical,        1,  0,  4,  1,   4,   11,  15,  6,   1,   24
 1916, 2² 479,        ,               2,  1,  5,  2,   5,   12,  16,  7,   2,   25
 1917, 3³ 71,         ,               0,  2,  6,  3,   6,   13,  17,  8,   3,   26
 1918, 2 7 137,       radical,        1,  3,  0,  4,   7,   14,  18,  9,   4,   27
 1919, 19 101,        radical,        2,  4,  1,  5,   8,   15,  0,   10,  5,   28
 1920, 2⁷ 3 5,        ,               0,  0,  2,  6,   9,   16,  1,   11,  6,   29
 1921, 17 113,        radical,        1,  1,  3,  7,   10,  0,   2,   12,  7,   30
 1922, 2 31²,         ,               2,  2,  4,  8,   11,  1,   3,   13,  8,   0
 1923, 3 641,         radical,        0,  3,  5,  9,   12,  2,   4,   14,  9,   1
 1924, 2² 13 37,      ,               1,  4,  6,  10,  0,   3,   5,   15,  10,  2
 1925, 5² 7 11,       ,               2,  0,  0,  0,   1,   4,   6,   16,  11,  3
 1926, 2 3² 107,      ,               0,  1,  1,  1,   2,   5,   7,   17,  12,  4
